Trial,Correct,Response Time (s),Distraction Type
1,1,2.767849922180176,None
2,1,2.2959187030792236,None
3,1,2.6312966346740723,None
4,1,1.6508359909057617,Audio
5,1,1.9365527629852295,Notification
6,0,1.643160104751587,Notification
7,1,2.154536008834839,None
8,0,2.303234100341797,None
9,0,1.651613712310791,Notification
10,0,1.8154714107513428,Notification
11,1,2.2058253288269043,Audio
12,1,2.0552260875701904,None
13,1,2.0668838024139404,None
14,1,2.62123703956604,Audio
15,1,1.7036921977996826,Audio
16,1,2.21171236038208,None
17,1,2.1235227584838867,Audio
18,1,1.5665760040283203,None
19,1,1.3857810497283936,None
20,1,1.373079776763916,None
