Trial,Correct,Response Time (s),Distraction Type
1,1,5.661444664001465,None
2,1,2.096039295196533,None
3,0,1.5547239780426025,None
4,1,1.3993196487426758,Audio
5,1,1.9287588596343994,Notification
6,0,1.9176173210144043,Notification
7,1,1.6214122772216797,Notification
8,0,1.8528296947479248,Notification
9,0,1.8803365230560303,Audio
10,1,1.6074719429016113,None
11,1,2.558790683746338,None
12,1,2.7876136302948,Audio
13,1,2.8054113388061523,Audio
14,1,3.0434932708740234,None
15,1,1.8067846298217773,None
16,1,1.761183500289917,None
17,1,2.307384967803955,Audio
18,1,1.9653713703155518,None
19,1,1.5085902214050293,None
20,1,1.5566496849060059,None
