Trial,Correct,Response Time (s),Distraction Type
1,1,3.9310178756713867,None
2,1,2.2386655807495117,None
3,1,1.8945071697235107,None
4,1,2.236955404281616,Notification
5,1,1.6399011611938477,Notification
6,1,1.3050847053527832,Audio
7,0,2.0613152980804443,None
8,1,1.611109972000122,None
9,0,1.5090014934539795,Audio
10,0,0.9056034088134766,Audio
11,1,1.9113187789916992,None
12,1,1.9192595481872559,Audio
13,1,1.5112504959106445,Notification
14,1,1.4477312564849854,Notification
15,1,1.4758391380310059,Audio
16,1,1.2814018726348877,None
17,1,2.114590883255005,None
18,1,1.4717271327972412,None
19,1,1.4982779026031494,None
20,1,1.3727138042449951,None
