Trial,Correct,Response Time (s),Distraction Type
1,1,2.2458043098449707,None
2,1,1.8239240646362305,None
3,1,2.0719540119171143,None
4,1,1.5520508289337158,None
5,0,2.14701509475708,None
6,0,1.8636624813079834,None
7,0,2.039492607116699,Notification
8,0,2.105645179748535,Notification
9,0,2.0924594402313232,None
10,0,1.6930346488952637,Notification
11,1,1.9764673709869385,Notification
12,0,1.6788244247436523,None
13,1,2.7059719562530518,None
14,1,2.175729990005493,None
15,1,1.9401731491088867,Audio
16,1,1.6999874114990234,Audio
17,1,2.3560495376586914,Audio
18,1,1.6767969131469727,None
19,1,2.1173365116119385,None
20,1,1.7530524730682373,Audio
