Trial,Correct,Response Time (s),Distraction Type
1,1,3.595649242401123,None
2,1,2.937678337097168,None
3,1,2.040774345397949,None
4,1,2.128366708755493,Audio
5,1,2.226771116256714,Audio
6,0,2.3290131092071533,Notification
7,1,2.222637414932251,Notification
8,0,1.9234118461608887,None
9,0,2.1596932411193848,Notification
10,1,3.060652256011963,Notification
11,1,2.715383768081665,Audio
12,1,1.9309918880462646,None
13,1,1.9221129417419434,None
14,1,2.200016975402832,None
15,1,2.0531060695648193,None
16,1,1.86854887008667,Audio
17,1,1.9712581634521484,None
18,1,1.7272496223449707,Audio
19,1,2.501758337020874,None
20,1,1.4788103103637695,None
