Trial,Correct,Response Time (s),Distraction Type
1,0,2.319716453552246,None
2,1,5.486098527908325,None
3,1,2.586320161819458,None
4,1,2.304229736328125,None
5,1,2.401135206222534,Audio
6,0,1.9824576377868652,Audio
7,0,2.4359629154205322,Audio
8,1,2.238440990447998,Audio
9,1,2.4719085693359375,Notification
10,0,2.2789125442504883,Notification
11,1,2.476059675216675,Audio
12,1,1.9234843254089355,None
13,1,1.50514817237854,Notification
14,1,1.88456130027771,Notification
15,1,1.635934829711914,None
16,1,1.7966041564941406,None
17,1,1.7855291366577148,None
18,1,2.056225061416626,None
19,1,1.5713310241699219,None
20,1,1.7998998165130615,None
