Trial,Correct,Response Time (s),Distraction Type
1,1,2.4871926307678223,None
2,1,1.919342041015625,None
3,1,1.7285633087158203,None
4,1,1.263127088546753,Audio
5,1,1.646740198135376,None
6,0,1.2887237071990967,None
7,0,1.9346258640289307,Notification
8,0,1.922511100769043,Notification
9,0,0.9050605297088623,Notification
10,1,1.6645090579986572,Notification
11,1,1.8889200687408447,None
12,0,1.8486213684082031,Audio
13,0,1.5524725914001465,Audio
14,1,1.4272534847259521,Audio
15,1,2.058655261993408,None
16,1,1.7505881786346436,Audio
17,1,1.4478280544281006,None
18,0,1.5476820468902588,None
19,1,1.7437787055969238,None
20,1,1.6456193923950195,None
