Trial,Correct,Response Time (s),Distraction Type
1,1,5.302738428115845,None
2,1,2.402954578399658,None
3,1,1.7712767124176025,None
4,1,1.9113600254058838,None
5,1,1.77811861038208,None
6,0,1.9381918907165527,Notification
7,0,2.171555519104004,Notification
8,1,2.1317951679229736,Audio
9,1,1.792384147644043,Audio
10,0,1.896073818206787,Audio
11,1,2.7013018131256104,Audio
12,1,1.6622908115386963,None
13,1,1.647674560546875,Audio
14,1,1.7870643138885498,None
15,1,1.9303302764892578,None
16,1,2.5329623222351074,Notification
17,1,2.6013691425323486,Notification
18,1,1.7746689319610596,None
19,1,2.0418124198913574,None
20,1,1.6249909400939941,None
