Trial,Correct,Response Time (s),Distraction Type
1,1,1.5518300533294678,None
2,0,1.6337904930114746,None
3,1,1.6545672416687012,None
4,0,1.5975968837738037,Audio
5,1,2.0386431217193604,Audio
6,1,1.9630281925201416,Notification
7,0,1.9901587963104248,Notification
8,1,1.9267590045928955,Audio
9,0,1.8473660945892334,Notification
10,1,1.7526333332061768,Notification
11,1,2.3686652183532715,Audio
12,1,1.417083978652954,Audio
13,1,1.3675637245178223,None
14,1,2.209740400314331,None
15,1,1.5326533317565918,None
16,1,1.7217750549316406,None
17,1,1.500246524810791,None
18,1,1.4271705150604248,None
19,1,1.5519592761993408,None
20,1,2.7591466903686523,None
