Trial,Correct,Response Time (s)
1,1,1.3165123462677002
2,1,0.7238948345184326
3,0,0.8726613521575928
4,1,1.4685750007629395
5,1,1.0441114902496338
6,1,1.3735933303833008
7,1,1.0518765449523926
8,1,1.0447232723236084
9,1,0.9960265159606934
10,1,0.7563819885253906
11,1,0.9569144248962402
12,1,0.8083722591400146
13,1,0.6724939346313477
14,1,0.7083721160888672
15,1,0.728574275970459
16,1,0.5606241226196289
17,1,0.5042669773101807
18,1,0.4570181369781494
19,0,0.9488177299499512
20,1,0.7083227634429932
