Trial,Correct,Response Time (s)
1,1,1.4288594722747803
2,1,0.6166024208068848
3,1,0.9123644828796387
4,1,0.5560894012451172
5,1,0.772998571395874
6,1,0.9406185150146484
7,1,0.7362923622131348
8,1,0.8447375297546387
9,1,0.5521552562713623
10,1,0.4445197582244873
11,1,1.6606500148773193
12,1,0.9160130023956299
13,0,0.5447945594787598
14,1,0.6565456390380859
15,0,0.6885273456573486
16,0,0.5006484985351562
17,0,0.5647239685058594
18,0,0.8365485668182373
19,0,0.8051350116729736
20,0,0.6882648468017578
