Trial,Correct,Response Time (s)
1,1,2.172292947769165
2,1,1.2840008735656738
3,1,0.9800984859466553
4,1,1.0568373203277588
5,1,0.7441298961639404
6,1,1.3885102272033691
7,1,1.5367631912231445
8,1,0.8885552883148193
9,1,0.9405472278594971
10,1,0.988248348236084
11,1,2.685114622116089
12,1,2.4656565189361572
13,1,1.7931888103485107
14,1,0.9653317928314209
15,1,1.0531175136566162
16,1,1.08095383644104
17,1,1.4173498153686523
18,1,1.3331308364868164
19,1,1.8291995525360107
20,1,1.10508131980896
