Trial,Correct,Response Time (s)
1,1,1.8821966648101807
2,1,1.0644853115081787
3,1,0.9167001247406006
4,1,1.3047776222229004
5,1,1.1048765182495117
6,1,1.8090324401855469
7,1,1.3170263767242432
8,1,0.8969593048095703
9,1,2.400914192199707
10,1,2.5688631534576416
11,1,2.0728578567504883
12,1,1.4409408569335938
13,0,0.6048243045806885
14,0,1.2370402812957764
15,1,3.1846697330474854
16,1,1.60433030128479
17,1,1.4372103214263916
18,1,1.1169583797454834
19,0,1.373121738433838
20,1,1.9208121299743652
