Trial,Correct,Response Time (s)
1,1,1.3500475883483887
2,1,1.076770305633545
3,0,0.8604590892791748
4,0,0.6171689033508301
5,0,0.6692345142364502
6,0,0.6208178997039795
7,0,0.7133259773254395
8,1,0.7088265419006348
9,0,0.9971768856048584
10,0,0.6609807014465332
11,1,0.7011353969573975
12,0,0.549203634262085
13,1,0.6450798511505127
14,0,0.5408704280853271
15,1,0.6653962135314941
16,0,0.8413407802581787
17,1,0.7052743434906006
18,1,0.673518180847168
19,0,0.7329773902893066
20,1,0.5775601863861084
