Trial,Correct,Response Time (s)
1,1,2.1817498207092285
2,1,2.8926963806152344
3,1,2.4569971561431885
4,1,1.6931202411651611
5,1,1.6646807193756104
6,1,1.2605862617492676
7,1,1.2608275413513184
8,1,1.3044888973236084
9,1,1.5926342010498047
10,1,1.628429651260376
11,1,3.5039174556732178
12,1,2.8178794384002686
13,1,2.6529815196990967
14,1,0.9688448905944824
15,1,1.473076343536377
16,1,3.06052827835083
17,1,1.8526828289031982
18,1,1.6329948902130127
19,1,1.180924892425537
20,1,1.7288970947265625
