Trial,Correct,Response Time (s),Distraction Type
1,1,4.1773364543914795,None
2,1,2.433431386947632,None
3,1,2.9332549571990967,None
4,1,3.0974960327148438,None
5,1,3.4553704261779785,Notification
6,1,3.6105704307556152,Notification
7,1,2.4823482036590576,Notification
8,1,3.0183184146881104,Notification
9,1,3.718479871749878,Audio
10,1,2.850471258163452,None
11,1,2.2880451679229736,Audio
12,1,3.067196846008301,None
13,1,2.3219308853149414,None
14,1,2.1254539489746094,Audio
15,1,2.03094744682312,None
16,1,1.7072703838348389,None
17,1,2.118913173675537,None
18,1,3.3480570316314697,Audio
19,1,2.682924747467041,None
20,1,2.6372344493865967,Audio
