Trial,Correct,Response Time (s),Distraction Type
1,0,3.6420061588287354,None
2,1,2.517319440841675,None
3,1,2.9388582706451416,None
4,1,5.501669883728027,None
5,1,2.986663579940796,None
6,1,3.026618003845215,Audio
7,1,3.183715581893921,Audio
8,1,2.563931703567505,None
9,0,5.415974140167236,Notification
10,1,2.549513816833496,Notification
11,1,2.63769793510437,None
12,1,2.2617807388305664,Audio
13,1,2.0265157222747803,None
14,1,2.982982873916626,Audio
15,1,2.9308133125305176,None
16,0,2.798336982727051,Audio
17,1,4.0078041553497314,Notification
18,1,3.6859545707702637,Notification
19,1,3.448516368865967,None
20,1,3.6327414512634277,None
