Trial,Correct,Response Time (s),Distraction Type
1,1,3.5682690143585205,None
2,1,3.223818302154541,None
3,1,2.895010471343994,None
4,1,5.020869970321655,Audio
5,1,2.6673943996429443,Audio
6,1,3.921628952026367,Audio
7,1,3.0339722633361816,Audio
8,1,2.7227532863616943,Audio
9,1,3.7046167850494385,Notification
10,1,3.5354318618774414,Notification
11,1,5.346156597137451,Notification
12,1,3.141777276992798,Notification
13,1,1.9312303066253662,None
14,1,3.5144741535186768,None
15,1,2.0304088592529297,None
16,1,2.6286520957946777,None
17,1,4.025489330291748,None
18,1,3.9151611328125,None
19,1,4.6722705364227295,None
20,1,4.364759683609009,None
