Trial,Correct,Response Time (s),Distraction Type
1,1,4.45142722129822,None
2,1,4.537312746047974,None
3,1,3.819692611694336,None
4,1,7.102900981903076,None
5,1,5.5700843334198,Notification
6,1,4.033260345458984,Notification
7,1,4.9525392055511475,Audio
8,1,5.191840410232544,Audio
9,1,4.141839504241943,Notification
10,1,6.049648284912109,Notification
11,1,2.5790963172912598,None
12,1,3.131810426712036,Audio
13,1,3.851829767227173,None
14,1,3.4762494564056396,None
15,1,2.840672492980957,None
16,1,3.5131638050079346,None
17,1,6.748521327972412,None
18,1,4.8713600635528564,Audio
19,1,4.99544620513916,None
20,1,3.364226818084717,None
