Trial,Correct,Response Time (s),Distraction Type
1,0,2.9235239028930664,None
2,1,2.775359869003296,None
3,1,2.2001779079437256,None
4,0,2.9420106410980225,Notification
5,1,2.2993738651275635,Notification
6,1,2.3624045848846436,Notification
7,1,2.882791757583618,Notification
8,1,3.3204569816589355,Audio
9,1,1.9939301013946533,None
10,1,2.1197457313537598,Audio
11,1,1.833547592163086,Audio
12,1,2.9831385612487793,Audio
13,1,2.761655330657959,None
14,1,2.5887978076934814,Audio
15,1,2.3859450817108154,None
16,1,2.0569536685943604,None
17,1,4.434715270996094,None
18,1,3.066591262817383,None
19,1,2.4818103313446045,None
20,1,2.8278844356536865,None
