Trial,Correct,Response Time (s),Distraction Type
1,0,5.455322265625,None
2,1,7.191134691238403,None
3,1,3.8460683822631836,None
4,1,2.828050374984741,Audio
5,1,2.566030263900757,Audio
6,1,2.5373313426971436,Notification
7,1,2.0242176055908203,Notification
8,0,1.9227163791656494,None
9,1,2.303286552429199,Audio
10,1,2.0370254516601562,Audio
11,1,2.3389992713928223,None
12,1,3.5705525875091553,Notification
13,1,3.6841862201690674,Notification
14,1,2.75028920173645,Audio
15,1,2.200317859649658,None
16,1,2.288421869277954,None
17,1,1.9329986572265625,None
18,1,2.0123093128204346,None
19,1,2.399721622467041,None
20,1,2.548595666885376,None
