Trial,Correct,Response Time (s),Distraction Type
1,1,3.9081039428710938,None
2,1,2.344409465789795,None
3,1,2.873126983642578,None
4,1,3.697293996810913,Notification
5,1,2.423687219619751,Notification
6,1,2.998124599456787,Notification
7,1,2.619511365890503,Notification
8,1,2.984469175338745,None
9,1,2.804366111755371,Audio
10,1,2.4079806804656982,None
11,1,2.4492554664611816,Audio
12,1,2.087209701538086,None
13,1,2.6685752868652344,None
14,1,2.622767925262451,Audio
15,1,2.8515419960021973,None
16,1,3.0323829650878906,None
17,1,3.1447548866271973,Audio
18,1,2.667994260787964,None
19,1,2.5876617431640625,Audio
20,1,2.9848384857177734,None
