Trial,Correct,Response Time (s),Distraction Type
1,1,3.9082281589508057,None
2,1,2.445869207382202,None
3,1,2.7467563152313232,None
4,1,2.3428447246551514,Notification
5,1,2.0633063316345215,Notification
6,1,3.490581750869751,Notification
7,1,2.561793804168701,Notification
8,1,2.2881369590759277,Audio
9,1,2.1992099285125732,None
10,1,2.4715933799743652,Audio
11,1,2.445010185241699,None
12,1,2.248836040496826,None
13,1,1.9808087348937988,Audio
14,1,2.1423773765563965,Audio
15,1,2.6651782989501953,None
16,1,2.227999210357666,Audio
17,1,1.8987884521484375,None
18,1,1.982914924621582,None
19,1,2.085141181945801,None
20,1,2.9749724864959717,None
