Trial,Correct,Response Time (s),Distraction Type
1,1,7.394774675369263,None
2,1,4.481505870819092,None
3,1,2.625805616378784,None
4,1,1.880995512008667,Audio
5,1,2.0021400451660156,Audio
6,1,1.8172414302825928,Audio
7,0,2.2575411796569824,Audio
8,1,2.09728741645813,None
9,1,2.0975708961486816,Notification
10,1,2.401130199432373,Notification
11,1,2.4574999809265137,Notification
12,1,1.9539217948913574,Notification
13,1,1.8818261623382568,None
14,1,2.882103204727173,None
15,1,2.298366069793701,None
16,1,2.2498090267181396,Audio
17,1,2.409808397293091,None
18,1,1.5856776237487793,None
19,1,2.313692092895508,None
20,1,3.0170493125915527,None
