Trial,Correct,Response Time (s),Distraction Type
1,1,4.449695110321045,None
2,1,2.940645933151245,None
3,1,4.2605140209198,None
4,1,2.2591092586517334,None
5,0,1.9437201023101807,Notification
6,1,2.3314688205718994,Notification
7,1,1.8312315940856934,Audio
8,1,2.0100629329681396,Audio
9,1,2.3683438301086426,Notification
10,1,2.693145513534546,Notification
11,0,2.67962908744812,Audio
12,1,3.061577796936035,Audio
13,1,3.5720760822296143,None
14,1,2.411329507827759,None
15,1,3.0684328079223633,None
16,1,3.0560452938079834,None
17,1,2.561520576477051,Audio
18,1,1.9256036281585693,None
19,1,1.9636650085449219,None
20,1,2.6391308307647705,None
